,B,L,A,Lm,Am,M,Ge,C,Le,P,Lem,Rm,R,model_id,timepoint
14966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bn_176,26.0
14967,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bn_176,27.0
14968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bn_176,28.0
14969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bn_176,29.0
14970,0.458828000000001,0.5726850000000003,0.591838000000001,0.5869130000000017,0.5935120000000004,0.3713750000000003,0.30740100000000015,0.5697050000000007,0.30498100000000006,0.448745,0.3057749999999996,0.3653840000000001,0.39369100000000007,bn_69,0.0
14971,0.39498699999999964,0.740130000000001,0.7263380000000002,0.5654,0.748084,0.3845239999999996,0.10596099999999994,0.7303880000000006,0.11038300000000001,0.3995169999999997,0.11298299999999993,0.18633200000000003,0.22661300000000012,bn_69,1.0
14972,0.44339099999999987,0.8784209999999998,0.8228799999999994,0.510848,0.8413349999999992,0.5503599999999993,0.034594999999999994,0.8649660000000001,0.04003799999999999,0.4529929999999999,0.047805999999999994,0.10279100000000005,0.12759900000000005,bn_69,2.0
14973,0.5813440000000004,0.9389839999999994,0.8956939999999997,0.5318030000000004,0.9052850000000001,0.7192240000000002,0.014290999999999998,0.9413209999999997,0.015076,0.5779690000000001,0.019418000000000005,0.06559199999999998,0.07456700000000002,bn_69,3.0
14974,0.7122460000000002,0.970398,0.9411320000000001,0.6142500000000001,0.9510209999999999,0.825775,0.006778000000000001,0.9722310000000002,0.005363,0.7063120000000002,0.006932000000000001,0.044568999999999984,0.043082,bn_69,4.0
14975,0.8138230000000001,0.987103,0.9686309999999998,0.713007,0.975061,0.8987800000000001,0.002921,0.9862600000000001,0.002746,0.809708,0.0013809999999999998,0.028725,0.027529,bn_69,5.0
14976,0.8895170000000002,0.9942679999999999,0.983992,0.804387,0.9869969999999998,0.9423900000000001,0.001403,0.9942930000000001,0.0015,0.885094,0.000139,0.013679000000000002,0.017109,bn_69,6.0
14977,0.932624,0.9980579999999999,0.9936459999999999,0.867833,0.9939779999999999,0.9686469999999999,0.000479,0.997336,0.000785,0.93021,0.0,0.008088,0.010669999999999999,bn_69,7.0
14978,0.95827,0.9992909999999998,0.996106,0.917534,0.9962479999999998,0.9802589999999999,0.0,0.9990009999999998,0.000177,0.960349,0.0,0.0032719999999999997,0.004554000000000001,bn_69,8.0
14979,0.974777,0.9995009999999999,0.9975839999999999,0.948031,0.9981349999999999,0.9902240000000001,0.0,0.9990009999999999,0.0,0.978722,0.0,0.0016200000000000001,0.00162,bn_69,9.0
14980,0.9861089999999999,0.9997749999999999,0.999088,0.969626,0.9991159999999998,0.9963269999999999,0.0,0.9992109999999998,0.0,0.9900249999999999,0.0,0.000905,0.001217,bn_69,10.0
14981,0.991589,1.0,0.999959,0.98637,0.999602,0.997406,0.0,1.0,0.0,0.994857,0.0,0.0005,0.0007779999999999999,bn_69,11.0
14982,0.995015,0.999999,0.999999,0.991147,0.999999,0.998986,0.0,0.999999,0.0,0.996476,0.0,0.000149,0.0005,bn_69,12.0
14983,0.996978,0.999999,0.999999,0.995018,0.999999,0.999499,0.0,0.999999,0.0,0.9979399999999999,0.0,0.0,0.000408,bn_69,13.0
14984,0.9989370000000001,1.0,1.0,0.997877,1.0,0.9995,0.0,1.0,0.0,0.9985,0.0,0.0,0.0,bn_69,14.0
14985,0.9995,1.0,1.0,0.9985,1.0,0.9995,0.0,1.0,0.0,0.9985,0.0,0.0,0.0,bn_69,15.0
14986,0.999564,1.000001,1.000001,0.998551,1.000001,0.999719,0.0,1.000001,0.0,0.999066,0.0,0.0,0.0,bn_69,16.0
14987,1.000001,1.000001,1.000001,0.999376,1.000001,1.000001,0.0,1.000001,0.0,0.999954,0.0,0.0,0.0,bn_69,17.0
14988,1.0,1.0,1.0,0.9995,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,bn_69,18.0
14989,1.0,1.0,1.0,0.999709,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,bn_69,19.0
14990,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,bn_69,20.0
14991,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,bn_69,21.0
14992,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,bn_69,22.0
14993,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,bn_69,23.0
14994,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,bn_69,24.0
14995,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,bn_69,25.0
14996,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,bn_69,26.0
14997,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,bn_69,27.0
14998,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,bn_69,28.0
14999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,bn_69,29.0
15000,0.5223289999999998,0.5135449999999996,0.6008459999999997,0.6280799999999995,0.6111829999999995,0.5788859999999977,0.34400600000000064,0.548704999999999,0.6929869999999998,0.5247299999999995,0.3258980000000001,0.3421160000000001,0.37916500000000003,bn_337,0.0
