model_id,Cluster,Attractor
bn_2032,13,8
bn_2033,13,8
bn_2034,21,13
bn_2035,21,13
bn_2036,6,21
bn_2037,6,21
bn_2038,56,4
bn_2039,56,4
bn_204,4,9
bn_2040,13,8
bn_2041,13,8
bn_2042,21,13
bn_2043,21,13
bn_2044,6,21
bn_2045,6,21
bn_2046,56,4
bn_2047,56,4
bn_2048,47,1
bn_2049,74,49
bn_205,45,52
bn_2050,47,1
bn_2051,8,47
bn_2052,39,42
bn_2053,66,66
bn_2054,39,42
bn_2055,66,72
bn_2056,5,14
bn_2057,15,40
bn_2058,5,14
bn_2059,51,5
bn_206,29,35
bn_2060,52,11
bn_2061,34,7
bn_2062,52,11
bn_2063,34,2
bn_2064,11,41
bn_2065,26,48
bn_2066,11,41
bn_2067,26,38
bn_2068,25,46
bn_2069,16,57
bn_207,58,67
bn_2070,25,46
bn_2071,16,19
bn_2072,24,14
bn_2073,67,40
bn_2074,24,14
bn_2075,15,5
bn_2076,33,11
bn_2077,42,7
bn_2078,33,11
bn_2079,22,2
bn_208,4,64
bn_2080,19,29
bn_2081,19,29
bn_2082,27,15
bn_2083,27,15
bn_2084,19,29
bn_2085,19,29
bn_2086,27,15
bn_2087,27,15
bn_2088,65,12
bn_2089,65,12
bn_209,62,45
bn_2090,48,15
bn_2091,48,15
bn_2092,65,12
bn_2093,65,12
bn_2094,48,15
bn_2095,48,15
bn_2096,28,53
bn_2097,53,63
bn_2098,28,53
bn_2099,53,58
bn_21,42,7
bn_210,4,9
bn_2100,71,6
bn_2101,57,60
bn_2102,71,6
bn_2103,0,17
bn_2104,11,25
bn_2105,30,43
bn_2106,11,25
bn_2107,30,55
bn_2108,44,6
bn_2109,57,60
bn_211,72,18
bn_2110,44,6
bn_2111,49,17
bn_2112,1,36
bn_2113,1,36
bn_2114,6,21
bn_2115,6,21
bn_2116,1,36
bn_2117,1,36
bn_2118,6,21
bn_2119,6,21
bn_212,12,11
bn_2120,61,30
bn_2121,61,30
bn_2122,43,21
bn_2123,43,21
bn_2124,61,30
bn_2125,61,30
bn_2126,43,21
bn_2127,43,21
bn_2128,18,16
bn_2129,40,37
bn_213,70,7
bn_2130,18,16
bn_2131,40,51
bn_2132,24,14
bn_2133,67,40
bn_2134,24,14
bn_2135,15,5
bn_2136,4,64
bn_2137,41,54
bn_2138,4,64
bn_2139,20,75
bn_214,59,14
bn_2140,59,14
bn_2141,38,40
bn_2142,59,14
bn_2143,54,5
bn_2144,31,50
bn_2145,31,50
bn_2146,46,21
bn_2147,46,21
bn_2148,31,50
bn_2149,31,50
bn_215,38,40
bn_2150,46,21
bn_2151,46,21
bn_2152,13,8
bn_2153,13,8
bn_2154,6,21
bn_2155,6,21
bn_2156,13,8
bn_2157,13,8
bn_2158,6,21
bn_2159,6,21
bn_216,69,6
bn_2160,47,1
bn_2161,74,49
bn_2162,47,1
bn_2163,8,47
bn_2164,5,14
bn_2165,15,40
bn_2166,5,14
bn_2167,51,5
bn_2168,11,41
bn_2169,26,48
bn_217,32,60
bn_2170,11,41
bn_2171,26,38
bn_2172,24,14
bn_2173,67,40
bn_2174,24,14
bn_2175,15,5
bn_2176,1,36
bn_2177,1,36
bn_2178,6,21
bn_2179,6,21
bn_218,12,11
bn_2180,1,36
bn_2181,1,36
bn_2182,6,21
bn_2183,6,21
bn_2184,61,30
bn_2185,61,30
bn_2186,43,21
bn_2187,43,21
bn_2188,61,30
bn_2189,61,30
bn_219,64,32
bn_2190,43,21
bn_2191,43,21
bn_2192,18,16
bn_2193,40,37
bn_2194,18,16
bn_2195,40,62
bn_2196,24,14
bn_2197,67,40
bn_2198,24,14
bn_2199,68,28
bn_22,33,11
bn_220,59,14
bn_2200,4,64
bn_2201,41,54
bn_2202,4,64
bn_2203,62,45
